age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income
18,Private,388652,Some-college,6,Separated,Other-service,Other-relative,White,Male,0,0,16,United-States,<=50K
68,Government,434208,11th,6,Divorced,Prof-specialty,Wife,White,Female,0,0,24,United-States,<=50K
22,Private,973089,5th-6th,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0,0,20,United-States,<=50K
30,Private,468407,9th,5,Married-civ-spouse,Protective-serv,Other-relative,White,Male,0,0,33,United-States,<=50K
36,Government,522318,10th,7,Never-married,Adm-clerical,Husband,White,Male,0,0,76,United-States,>50K
29,Private,721761,7th-8th,2,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,0,0,39,Canada,<=50K
65,Private,707418,12th,1,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,79,United-States,>50K
42,Private,213180,Prof-school,12,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,1207,75,Other,>50K
74,Private,591067,Preschool,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,70,United-States,<=50K
52,Self-emp,569950,9th,8,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,87,United-States,<=50K
22,Private,177257,Doctorate,1,Married-civ-spouse,Priv-house-serv,Not-in-family,White,Male,0,0,50,United-States,>50K
39,Government,878600,Masters,12,Married-civ-spouse,Other-service,Husband,White,Female,0,0,91,United-States,>50K
74,Private,935314,Assoc-voc,2,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,0,0,60,United-States,<=50K
64,Private,481426,1st-4th,11,Separated,Adm-clerical,Other-relative,White,Male,0,0,53,United-States,<=50K
71,Private,511669,Doctorate,12,Never-married,Armed-Forces,Husband,White,Male,46875,0,22,United-States,>50K
20,Private,585330,1st-4th,10,Married-civ-spouse,Sales,Own-child,White,Male,0,0,21,United-States,<=50K
70,Without-pay,214488,10th,6,Married-civ-spouse,Armed-Forces,Unmarried,White,Male,0,0,91,United-States,<=50K
48,Private,874618,7th-8th,1,Divorced,Armed-Forces,Own-child,White,Male,0,0,18,United-States,>50K
86,Private,922679,HS-grad,10,Married-civ-spouse,Armed-Forces,Unmarried,White,Male,0,0,94,Philippines,>50K
50,Government,175955,5th-6th,3,Never-married,Priv-house-serv,Unmarried,White,Male,0,0,57,United-States,>50K
89,Self-emp,966853,10th,7,Divorced,Prof-specialty,Husband,White,Male,0,0,58,United-States,>50K
67,Private,62215,12th,12,Married-civ-spouse,Sales,Other-relative,White,Male,0,0,62,United-States,>50K
33,Self-emp,703779,11th,8,Separated,Protective-serv,Other-relative,White,Male,0,0,65,United-States,>50K
56,Private,994846,7th-8th,4,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,49,United-States,<=50K
63,Private,796012,9th,12,Married-civ-spouse,Craft-repair,Other-relative,White,Male,0,0,33,United-States,<=50K
64,Private,770964,5th-6th,3,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,81,United-States,<=50K
61,Private,992310,Assoc-voc,1,Never-married,Transport-moving,Husband,Black,Male,0,0,42,United-States,<=50K
